step,num_samples,cider,annotations_path,predictions_path
1,1,nan,results\coco_caption_annotations.json,results\coco_caption_predictions.json
1,1,nan,results\coco_caption_annotations.json,results\coco_caption_predictions.json
1,1,41.0256,results\coco_caption_annotations.json,results\coco_caption_predictions.json
1,1,41.0256,results\coco_caption_annotations.json,results\coco_caption_predictions.json
1,1,38.4615,results\coco_caption_annotations.json,results\coco_caption_predictions.json
2,2,28.6058,results\coco_caption_annotations.json,results\coco_caption_predictions.json
3,3,29.4872,results\coco_caption_annotations.json,results\coco_caption_predictions.json
4,4,31.8715,results\coco_caption_annotations.json,results\coco_caption_predictions.json
5,5,31.3795,results\coco_caption_annotations.json,results\coco_caption_predictions.json
6,6,31.8967,results\coco_caption_annotations.json,results\coco_caption_predictions.json
7,7,33.4007,results\coco_caption_annotations.json,results\coco_caption_predictions.json
8,8,32.4514,results\coco_caption_annotations.json,results\coco_caption_predictions.json
9,9,30.9962,results\coco_caption_annotations.json,results\coco_caption_predictions.json
10,10,28.8722,results\coco_caption_annotations.json,results\coco_caption_predictions.json
11,11,29.2778,results\coco_caption_annotations.json,results\coco_caption_predictions.json
12,12,27.9132,results\coco_caption_annotations.json,results\coco_caption_predictions.json
13,13,28.1329,results\coco_caption_annotations.json,results\coco_caption_predictions.json
14,14,27.9091,results\coco_caption_annotations.json,results\coco_caption_predictions.json
15,15,27.7152,results\coco_caption_annotations.json,results\coco_caption_predictions.json
16,16,27.3719,results\coco_caption_annotations.json,results\coco_caption_predictions.json
17,17,27.3719,results\coco_caption_annotations.json,results\coco_caption_predictions.json
18,18,26.6441,results\coco_caption_annotations.json,results\coco_caption_predictions.json
19,19,26.9417,results\coco_caption_annotations.json,results\coco_caption_predictions.json
20,20,26.7768,results\coco_caption_annotations.json,results\coco_caption_predictions.json
20,20,26.7768,results\coco_caption_annotations.json,results\coco_caption_predictions.json
1,1,32.4324,results\coco_caption_annotations.json,results\coco_caption_predictions.json
2,2,28.4113,results\coco_caption_annotations.json,results\coco_caption_predictions.json
2,2,28.4113,results\coco_caption_annotations.json,results\coco_caption_predictions.json
